timestamp,symbol,timeframe,setup_type,bias,scenario_label,effort_result_state,absorption_candidate,climax_candidate,crowding_status,taker_price_divergence,oi_build_type,oi_semantic_reliable,passed,block_reasons,semantic_blocked,warnings
2026-05-06T12:45:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T13:00:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T13:15:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T13:30:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T13:45:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T14:00:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T14:15:00+00:00,ETHUSDT,15m,Continuation,Bearish,mixed_context,Normal,False,False,neutral,False,unknown,False,False,continuation_higher_timeframe_not_aligned,False,
2026-05-06T14:15:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T14:30:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T14:45:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T15:00:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T15:15:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-06T15:30:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-05-07T06:30:00+00:00,ETHUSDT,15m,Continuation,Bearish,mixed_context,Normal,False,False,extreme_crowded_short,False,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable|clarity_below_threshold|exhaustion_oi_climax,False,
2026-05-07T07:30:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,False,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,crowding_warning
2026-05-07T08:00:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,False,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,crowding_warning
2026-05-08T00:00:00+00:00,ETHUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,False,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,crowding_warning
2026-04-11T20:00:00+00:00,SOLUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,neutral,False,unknown,False,False,continuation_control_not_directional|continuation_flow_alignment_below_threshold|continuation_structure_strength_below_threshold|decision_bridge_low_htf_oi_percentile,False,
2026-04-14T00:00:00+00:00,SOLUSDT,4h,Continuation,Bullish,mixed_context,Efficient,False,False,crowded_short,True,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning|crowding_warning
2026-04-17T00:00:00+00:00,SOLUSDT,24h,Continuation,Bullish,mixed_context,Normal,False,False,extreme_crowded_short,True,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning
2026-04-17T04:00:00+00:00,SOLUSDT,24h,Continuation,Bullish,mixed_context,Normal,False,False,extreme_crowded_short,True,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning
2026-04-17T08:00:00+00:00,SOLUSDT,24h,Continuation,Bullish,mixed_context,Normal,False,False,extreme_crowded_short,True,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning
2026-04-17T12:00:00+00:00,SOLUSDT,24h,Continuation,Bullish,mixed_context,Normal,False,False,extreme_crowded_short,True,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning
2026-04-17T16:00:00+00:00,SOLUSDT,24h,Continuation,Bullish,mixed_context,Normal,False,False,extreme_crowded_short,True,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning
2026-04-17T20:00:00+00:00,SOLUSDT,24h,Continuation,Bullish,mixed_context,Normal,False,False,extreme_crowded_short,True,unknown,False,False,scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning
2026-04-27T02:00:00+00:00,SOLUSDT,1h,Continuation,Neutral,mixed_context,Efficient,False,False,extreme_crowded_long,True,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable,False,taker_price_divergence_warning
2026-04-28T15:00:00+00:00,SOLUSDT,15m,Continuation,Bearish,mixed_context,Normal,False,False,neutral,True,unknown,False,False,range_context_blocked|scenario_not_allow|semantic_absorption_block|foundation_version_not_trusted|oi_delta_unreliable|clarity_below_threshold|continuation_choppy_regime,True,taker_price_divergence_warning
2026-04-29T10:15:00+00:00,SOLUSDT,15m,Continuation,Neutral,mixed_context,Normal,False,False,neutral,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable|continuation_choppy_regime|exhaustion_oi_climax,False,
2026-04-29T11:00:00+00:00,SOLUSDT,15m,Continuation,Neutral,mixed_context,Normal,False,False,neutral,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable|continuation_choppy_regime|exhaustion_oi_climax,False,
2026-04-29T12:00:00+00:00,SOLUSDT,15m,Continuation,Neutral,mixed_context,Normal,False,False,neutral,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable|continuation_choppy_regime|exhaustion_oi_climax,False,
2026-04-30T00:00:00+00:00,SOLUSDT,15m,Continuation,Neutral,mixed_context,Normal,False,False,neutral,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable|continuation_choppy_regime|exhaustion_oi_climax,False,
2026-04-30T01:00:00+00:00,SOLUSDT,15m,Continuation,Neutral,mixed_context,Normal,False,False,neutral,False,unknown,False,False,mixed_context_blocked|scenario_not_allow|foundation_version_not_trusted|oi_delta_unreliable|continuation_choppy_regime|exhaustion_oi_climax,False,
