Version,Symbol,Timeframe,Timestamp,Setup,Regime,Confidence,Bias,PnL_Pct,Result,AI_Score,Computed_TP,Computed_SL,Computed_RR
v3_ema,FIGHTUSDT,4h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.8729,Bullish,3.3913,win,0.0,,,
v3_ema,WLDUSDT,1h,2026-04-10 15:57:41.707946+00:00,Continuation,Balanced,0.8632,Bullish,2.3537,win,0.0,,,
v3_ema,WLDUSDT,1h,2026-04-13 01:57:14.016265+00:00,Continuation,Trending,0.8972,Bullish,-2.0708,loss,0.0,,,
v3_ema,WLDUSDT,4h,2026-04-14 07:55:20.338849+00:00,Continuation,Trending,0.9314,Bullish,-4.9768,loss,0.0,,,
v3_ema,WLDUSDT,15m,2026-04-16 07:58:55.102134+00:00,Continuation,Ranging,0.895,Bullish,-0.7118,loss,0.0,,,
v3_ema,WLDUSDT,4h,2026-04-22 07:55:28.153997+00:00,Continuation,Balanced,0.8659,Bullish,-1.3128,loss,0.0,,,
v3_ema,SAPIENUSDT,1h,2026-04-25 11:59:59.999000+00:00,Continuation,Trending,0.878,Bullish,7.1426,win,0.0,,,
v3_ema,LABUSDT,1h,2026-04-23 13:59:59.999000+00:00,Continuation,Trending,0.9156,Bullish,-5.3966,loss,0.0,,,
v3_ema,GALAUSDT,15m,2026-04-16 15:28:28.100064+00:00,Continuation,Balanced,0.8754,Bullish,2.9973,win,0.0,,,
v3_ema,GALAUSDT,4h,2026-04-24 11:59:47.962794+00:00,Continuation,Trending,0.8874,Bullish,4.4405,win,0.0,,,
v3_ema,GALAUSDT,4h,2026-04-25 03:56:27.323074+00:00,Continuation,Trending,0.9131,Bullish,-3.5403,loss,0.0,,,
v3_ema,ONGUSDT,1h,2026-04-08 18:55:32.395365+00:00,Continuation,Balanced,0.494,Bearish,2.1176,win,0.0,,,
v3_ema,ORCAUSDT,15m,2026-04-28 08:55:56.588794+00:00,Continuation,Balanced,0.877,Bullish,-0.1935,loss,0.0,,,
v3_ema,KITEUSDT,1h,2026-04-10 18:56:30.759336+00:00,Continuation,Balanced,0.8529,Bullish,-2.5582,loss,0.0,,,
v3_ema,KITEUSDT,1h,2026-04-13 11:55:32.356032+00:00,Continuation,Trending,0.8654,Bullish,-0.1835,loss,0.0,,,
v3_ema,KITEUSDT,4h,2026-04-27 03:59:59.999000+00:00,Continuation,Trending,0.8774,Bullish,-4.9689,loss,0.0,,,
v3_ema,MAGMAUSDT,15m,2026-04-24 10:26:30.037576+00:00,Continuation,Balanced,0.8675,Bullish,0.9548,win,0.0,,,
v3_ema,BASEDUSDT,15m,2026-04-10 09:13:56.356313+00:00,Continuation,Balanced,0.801,Bullish,-0.9668,loss,0.0,,,
v3_ema,BASEDUSDT,15m,2026-04-12 20:40:29.501832+00:00,Continuation,Balanced,0.8262,Bullish,-0.8367,loss,0.0,,,
v3_ema,1000LUNCUSDT,4h,2026-04-23 19:59:59.999000+00:00,Continuation,Trending,0.8658,Bullish,6.4693,win,0.0,,,
v3_ema,1000LUNCUSDT,4h,2026-04-26 19:59:59.999000+00:00,Continuation,Trending,0.8807,Bullish,6.9949,win,0.0,,,
v3_ema,ETHUSDT,4h,2026-04-22 07:55:28.153997+00:00,Continuation,Balanced,0.8868,Bullish,-0.688,loss,0.0,,,
v3_ema,MMTUSDT,15m,2026-04-05 21:14:59.999000+00:00,Continuation,Trending,0.8441,Bullish,1.4738,win,0.0,,,
v3_ema,BEATUSDT,15m,2026-04-09 15:11:06.711737+00:00,Continuation,Balanced,0.8209,Bullish,0.7053,win,0.0,,,
v3_ema,DOTUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.903,Bullish,-2.7882,loss,0.0,,,
v3_ema,DOTUSDT,15m,2026-04-13 15:56:10.092114+00:00,Continuation,Ranging,0.4549,Bearish,-0.7151,loss,0.0,,,
v3_ema,DOTUSDT,15m,2026-04-17 12:55:51.485455+00:00,Continuation,Ranging,0.8653,Bullish,1.1115,win,0.0,,,
v3_ema,DOTUSDT,4h,2026-04-23 19:59:44.649532+00:00,Continuation,Balanced,0.4692,Bearish,-1.3915,loss,0.0,,,
v3_ema,1000FLOKIUSDT,1h,2026-04-22 14:59:59.999000+00:00,Continuation,Balanced,0.8569,Bullish,-0.7143,loss,0.0,,,
v3_ema,1000FLOKIUSDT,15m,2026-04-23 05:14:59.999000+00:00,Continuation,Balanced,0.8191,Bullish,1.4072,win,0.0,,,
v3_ema,1000FLOKIUSDT,1h,2026-04-23 14:59:59.999000+00:00,Continuation,Balanced,0.8872,Bullish,-2.3365,loss,0.0,,,
v3_ema,SONICUSDT,15m,2026-04-25 12:59:59.999000+00:00,Continuation,Balanced,0.8983,Bullish,2.6463,win,0.0,,,
v3_ema,XRPUSDT,24h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.8808,Bullish,-1.3705,loss,0.0,,,
v3_ema,BOMEUSDT,4h,2026-04-22 11:55:21.102674+00:00,Continuation,Trending,0.8597,Bullish,-6.8354,loss,0.0,,,
v3_ema,INXUSDT,4h,2026-04-12 11:59:59.999000+00:00,Continuation,Trending,0.8803,Bullish,6.1286,win,0.0,,,
v3_ema,INXUSDT,15m,2026-04-15 23:13:45.464519+00:00,Continuation,Balanced,0.8612,Bullish,-0.7362,loss,0.0,,,
v3_ema,INXUSDT,1h,2026-04-16 16:55:22.256810+00:00,Continuation,Balanced,0.4892,Bearish,-2.018,loss,0.0,,,
v3_ema,SPXUSDT,15m,2026-04-23 11:58:56.923129+00:00,Continuation,Balanced,0.8766,Bullish,-0.109,loss,0.0,,,
v3_ema,THETAUSDT,15m,2026-04-18 16:27:11.918682+00:00,Continuation,Balanced,0.8937,Bullish,-1.3137,loss,0.0,,,
v3_ema,XLMUSDT,4h,2026-04-20 19:59:59.999000+00:00,Continuation,Trending,0.8863,Bullish,4.3089,win,0.0,,,
v3_ema,XLMUSDT,15m,2026-04-23 06:40:49.819716+00:00,Continuation,Ranging,0.8853,Bullish,-0.0621,loss,0.0,,,
v3_ema,XLMUSDT,1h,2026-04-26 11:55:37.716802+00:00,Continuation,Ranging,0.8581,Bullish,-0.1508,loss,0.0,,,
v3_ema,BNBUSDT,4h,2026-04-14 15:59:13.419632+00:00,Continuation,Balanced,0.8822,Bullish,-1.3346,loss,0.0,,,
v3_ema,PENGUUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.8804,Bullish,-3.7955,loss,0.0,,,
v3_ema,PENGUUSDT,15m,2026-04-08 21:13:18.119360+00:00,Continuation,Ranging,0.8236,Bullish,-0.3293,loss,0.0,,,
v3_ema,PENGUUSDT,4h,2026-04-14 11:59:41.857830+00:00,Continuation,Trending,0.9041,Bullish,-3.6455,loss,0.0,,,
v3_ema,PENGUUSDT,15m,2026-04-17 07:41:30.197636+00:00,Continuation,Ranging,0.8402,Bullish,1.109,win,0.0,,,
v3_ema,PENGUUSDT,4h,2026-04-21 11:55:16.329497+00:00,Continuation,Trending,0.9018,Bullish,-4.6467,loss,0.0,,,
v3_ema,PENGUUSDT,1h,2026-04-22 02:57:37.826873+00:00,Continuation,Trending,0.9075,Bullish,3.2717,win,0.0,,,
v3_ema,PENGUUSDT,15m,2026-04-22 18:42:33.629124+00:00,Continuation,Balanced,0.8493,Bullish,-1.0627,loss,0.0,,,
v3_ema,PENGUUSDT,15m,2026-04-23 12:14:15.534434+00:00,Continuation,Balanced,0.8018,Bullish,-0.0831,loss,0.0,,,
v3_ema,PENGUUSDT,4h,2026-04-26 11:55:37.716802+00:00,Continuation,Trending,0.8971,Bullish,-4.0542,loss,0.0,,,
v3_ema,PORTALUSDT,15m,2026-04-20 22:10:47.105858+00:00,Continuation,Balanced,0.8195,Bullish,0.8688,win,0.0,,,
v3_ema,COMPUSDT,1h,2026-04-17 23:56:41.953640+00:00,Continuation,Balanced,0.9075,Bullish,3.5125,win,0.0,,,
v3_ema,ENAUSDT,4h,2026-04-06 15:56:06.701096+00:00,Continuation,Trending,0.894,Bullish,-3.4423,loss,0.0,,,
v3_ema,ENAUSDT,4h,2026-04-08 07:57:26.669608+00:00,Continuation,Trending,0.8646,Bullish,-4.3703,loss,0.0,,,
v3_ema,ENAUSDT,15m,2026-04-10 09:13:56.356313+00:00,Continuation,Balanced,0.853,Bullish,-1.1334,loss,0.0,,,
v3_ema,ENAUSDT,15m,2026-04-18 05:56:01.813294+00:00,Continuation,Ranging,0.8413,Bullish,0.3417,win,0.0,,,
v3_ema,ENAUSDT,15m,2026-04-22 01:25:53.604979+00:00,Continuation,Ranging,0.8041,Bearish,-0.6524,loss,0.0,,,
v3_ema,ENAUSDT,15m,2026-04-25 01:44:08.544453+00:00,Continuation,Ranging,0.8525,Bullish,0.4378,win,0.0,,,
v3_ema,PIPPINUSDT,1h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.5077,Bearish,-3.1502,loss,0.0,,,
v3_ema,PIPPINUSDT,4h,2026-04-11 03:57:51.901254+00:00,Continuation,Trending,0.8321,Bearish,-0.694,loss,0.0,,,
v3_ema,PIPPINUSDT,4h,2026-04-12 19:59:42.630988+00:00,Continuation,Trending,0.9084,Bearish,3.5946,win,0.0,,,
v3_ema,PIPPINUSDT,4h,2026-04-24 19:59:59.999000+00:00,Continuation,Trending,0.8839,Bullish,2.9778,win,0.0,,,
v3_ema,PIPPINUSDT,15m,2026-04-29 07:42:42.531622+00:00,Continuation,Ranging,0.8147,Bullish,0.3551,win,0.0,,,
v3_ema,SUSHIUSDT,15m,2026-04-18 16:42:30.217195+00:00,Continuation,Ranging,0.8366,Bearish,-0.2116,loss,0.0,,,
v3_ema,IPUSDT,15m,2026-04-21 05:43:45.186165+00:00,Continuation,Balanced,0.8787,Bullish,-0.8235,loss,0.0,,,
v3_ema,IPUSDT,4h,2026-04-22 19:59:59.999000+00:00,Continuation,Trending,0.8929,Bullish,-3.6972,loss,0.0,,,
v3_ema,IPUSDT,15m,2026-04-26 16:28:31.162347+00:00,Continuation,Ranging,0.8617,Bullish,0.8299,win,0.0,,,
v3_ema,TAOUSDT,1h,2026-04-14 18:57:32.486531+00:00,Continuation,Balanced,0.4788,Bearish,-1.696,loss,0.0,,,
v3_ema,HBARUSDT,15m,2026-04-16 15:43:45.961126+00:00,Continuation,Ranging,0.8746,Bullish,-0.2945,loss,0.0,,,
v3_ema,FETUSDT,15m,2026-04-05 20:40:27.025043+00:00,Continuation,Ranging,0.8501,Bullish,-0.6431,loss,0.0,,,
