Version,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result
v2_balanced,FIGHTUSDT,4h,Continuation,Trending,0.8729,Bullish,Long,3.3913,win
v2_balanced,SAFEUSDT,4h,Continuation,Trending,0.9012,Bullish,Long,-0.8181,loss
v2_balanced,SAFEUSDT,4h,Continuation,Trending,0.8762,Bullish,Long,6.1992,win
v2_balanced,RAYSOLUSDT,4h,Continuation,Trending,0.8536,Bullish,Long,-1.0436,loss
v2_balanced,RAYSOLUSDT,4h,Continuation,Trending,0.885,Bullish,Long,-2.6543,loss
v2_balanced,PIPPINUSDT,4h,Continuation,Trending,0.9084,Bearish,Short,3.5946,win
v2_balanced,PIPPINUSDT,4h,Continuation,Trending,0.8839,Bullish,Long,3.121,win
v2_balanced,OPENUSDT,4h,Continuation,Trending,0.8718,Bullish,Long,2.2936,win
v2_balanced,OPENUSDT,15m,Continuation,Balanced,0.8383,Bullish,Long,0.4947,win
v2_balanced,CFGUSDT,15m,Continuation,Balanced,0.812,Bullish,Long,0.8494,win
v2_balanced,WETUSDT,15m,Continuation,Trending,0.8592,Bullish,Long,-2.2042,loss
v2_balanced,ALGOUSDT,15m,Continuation,Balanced,0.8252,Bullish,Long,-0.3868,loss
v2_balanced,ALGOUSDT,15m,Continuation,Balanced,0.862,Bullish,Long,-0.4602,loss
v2_balanced,ALGOUSDT,24h,Continuation,Trending,0.8526,Bullish,Long,-5.7548,open
v2_balanced,NEARUSDT,1h,Continuation,Balanced,0.85,Bullish,Long,-1.1645,loss
v2_balanced,CLUSDT,15m,Continuation,Balanced,0.837,Bullish,Long,-0.01,loss
v2_balanced,CLUSDT,4h,Continuation,Trending,0.8885,Bullish,Long,2.935,win
v2_balanced,CLUSDT,15m,Continuation,Balanced,0.7892,Bullish,Long,0.8582,win
v2_balanced,CLUSDT,1h,Continuation,Balanced,0.9069,Bullish,Long,-0.9298,loss
v2_balanced,CLUSDT,24h,Continuation,Trending,0.8323,Bullish,Long,8.7346,open
v2_balanced,ENJUSDT,15m,Continuation,Balanced,0.837,Bullish,Long,-0.9653,loss
v2_balanced,VIRTUALUSDT,4h,Continuation,Trending,0.8695,Bullish,Long,-4.0608,loss
v2_balanced,VIRTUALUSDT,4h,Continuation,Trending,0.8825,Bullish,Long,-4.4101,loss
v2_balanced,VIRTUALUSDT,4h,Continuation,Trending,0.8725,Bullish,Long,1.555,win
v2_balanced,VIRTUALUSDT,4h,Continuation,Trending,0.8825,Bullish,Long,-2.591,loss
v2_balanced,INXUSDT,4h,Continuation,Trending,0.8366,Bullish,Long,2.4685,win
v2_balanced,INXUSDT,4h,Continuation,Trending,0.8803,Bullish,Long,6.3336,win
v2_balanced,FIDAUSDT,15m,Continuation,Balanced,0.7957,Bullish,Long,2.0594,win
v2_balanced,1000LUNCUSDT,4h,Continuation,Trending,0.824,Bullish,Long,1.6194,win
v2_balanced,1000LUNCUSDT,4h,Continuation,Trending,0.8658,Bullish,Long,6.6856,win
v2_balanced,BRUSDT,15m,Continuation,Trending,0.8261,Bullish,Long,1.8962,win
v2_balanced,BRUSDT,1h,Continuation,Trending,0.8792,Bullish,Long,-3.7597,loss
v2_balanced,KITEUSDT,4h,Continuation,Trending,0.9093,Bullish,Long,-7.2265,loss
v2_balanced,KITEUSDT,4h,Continuation,Trending,0.8136,Bullish,Long,7.6236,win
v2_balanced,KITEUSDT,4h,Continuation,Trending,0.8774,Bullish,Long,-4.9689,loss
v2_balanced,JCTUSDT,4h,Continuation,Trending,0.8672,Bullish,Long,10.566,win
v2_balanced,WIFUSDT,4h,Continuation,Balanced,0.8918,Bullish,Long,-2.5943,loss
v2_balanced,WIFUSDT,4h,Continuation,Trending,0.8195,Bullish,Long,-2.0527,loss
v2_balanced,WIFUSDT,1h,Continuation,Balanced,0.9006,Bullish,Long,1.1881,win
