Strategy,EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Volatility,Bias,Confidence,PnL_Pct,R_Multiple,Result,EMA30,EMA100,EntryPrice,FlowAlignment,VolumeZ15m,OIZ15m
v2_balanced_current,2026-04-18T06:57:05.583463+00:00,2026-04-18T08:59:59.747783+00:00,NEARUSDT,1h,Continuation,Balanced,Medium,Bullish,0.85,-1.1645,-1.0,loss,1.410793,1.400888,1.417415,0.8774,2.8625,-0.1274
v2_balanced_current,2026-04-11T07:59:59.999000+00:00,2026-04-11T11:59:59.999000+00:00,TONUSDT,4h,Continuation,Trending,High,Bullish,0.8926,1.8577,0.495,win,1.263243,1.241911,1.3347,0.8877,0.0,0.0
v2_balanced_current,2026-04-17T04:14:29.481983+00:00,2026-04-17T05:27:16.868777+00:00,TONUSDT,15m,Continuation,Ranging,Medium,Bullish,0.824,-0.4991,-0.7699,loss,1.428025,1.417349,1.433755,0.6902,0.3476,2.7803
v2_balanced_current,2026-04-22T11:59:59.999000+00:00,2026-04-22T23:59:59.999000+00:00,ETCUSDT,4h,Continuation,Balanced,Low,Bullish,0.8614,-2.3116,-1.0,loss,8.476867,8.413788,8.714,0.8214,-0.6341,-0.7067
v2_balanced_current,2026-04-22T07:55:28.153997+00:00,2026-04-22T23:59:59.999000+00:00,ETHUSDT,4h,Continuation,Balanced,Low,Bullish,0.8868,-0.688,-0.3054,loss,2327.733282,2272.646837,2389.48,0.9545,-0.2822,2.633
v2_balanced_current,2026-04-08T07:57:26.669608+00:00,2026-04-09T03:56:41.689627+00:00,TRUMPUSDT,4h,Continuation,Trending,Medium,Bullish,0.7961,-3.8546,-1.0,loss,2.836789,2.811558,3.009,0.7257,0.262,1.2483
v2_balanced_current,2026-04-15T23:59:41.047592+00:00,2026-04-16T03:59:07.940381+00:00,TRUMPUSDT,4h,Continuation,Balanced,Medium,Bullish,0.9088,1.2937,0.535,win,2.834377,2.832439,2.934,1.0,2.6774,2.7578
v2_balanced_current,2026-04-15T11:55:50.955164+00:00,2026-04-15T14:59:16.573539+00:00,AAVEUSDT,1h,Continuation,Balanced,Low,Bullish,0.8909,2.1462,1.56,win,99.61582,96.632041,101.764941,0.9811,0.0457,2.3091
v2_balanced_current,2026-04-27T03:57:34.172163+00:00,2026-04-27T07:56:49.299071+00:00,AAVEUSDT,4h,Continuation,Trending,Low,Bullish,0.9297,-2.455,-1.0,loss,95.132192,95.395102,99.46,0.9633,0.0874,-0.1018
v2_balanced_current,2026-04-16T23:59:32.515981+00:00,2026-04-19T23:56:56.396337+00:00,ADAUSDT,24h,Continuation,Trending,High,Bullish,0.8661,-6.7717,-1.0,loss,0.249599,0.250244,0.259135,0.964,-0.6745,-1.9303
v2_balanced_current,2026-04-25T11:44:49.187391+00:00,2026-04-25T12:56:03.125912+00:00,ADAUSDT,15m,Continuation,Ranging,Medium,Bearish,0.8353,-0.0397,-0.1458,loss,0.252157,0.25116,0.2516,0.779,2.2837,0.5836
v2_balanced_current,2026-04-22T07:59:59.999000+00:00,2026-04-23T03:59:59.999000+00:00,AEROUSDT,4h,Continuation,Trending,High,Bullish,0.8893,2.2832,0.495,win,0.382968,0.379266,0.407,0.917,0.0,0.0
v2_balanced_current,2026-04-26T07:59:59.999000+00:00,2026-04-26T11:59:59.999000+00:00,AEROUSDT,4h,Continuation,Trending,High,Bullish,0.8551,1.796,0.545,win,0.419262,0.397634,0.4425,0.8469,-0.6161,-1.2898
v2_balanced_current,2026-04-26T12:44:59.999000+00:00,2026-04-26T13:44:59.999000+00:00,AEROUSDT,15m,Continuation,Balanced,High,Bullish,0.895,-0.5152,-0.2068,loss,0.451614,0.437378,0.4658,0.863,3.2733,2.0637
v2_balanced_current,2026-04-07T15:58:29.280560+00:00,2026-04-07T20:59:20.822197+00:00,FARTCOINUSDT,1h,Continuation,Balanced,High,Bullish,0.8148,3.6125,1.495,win,0.170263,0.169938,0.173727,0.7242,0.6815,0.3583
v2_balanced_current,2026-04-08T19:56:50.416214+00:00,2026-04-08T20:58:00.262628+00:00,FARTCOINUSDT,1h,Continuation,Balanced,High,Bullish,0.8782,4.0548,1.545,win,0.19542,0.181958,0.202239,0.7619,-0.6886,1.0075
v2_balanced_current,2026-04-16T07:58:55.102134+00:00,2026-04-16T19:59:21.500080+00:00,FARTCOINUSDT,4h,Continuation,Trending,High,Bullish,0.9071,3.1251,0.495,win,0.198102,0.185996,0.214647,0.9529,0.8007,-0.5163
v2_balanced_current,2026-04-27T03:57:34.172163+00:00,2026-04-27T07:56:49.299071+00:00,FARTCOINUSDT,4h,Continuation,Trending,High,Bullish,0.9004,-3.1431,-1.0,loss,0.201826,0.197022,0.2119,0.9347,1.3105,-1.851
v2_balanced_current,2026-04-20T23:57:39.152752+00:00,2026-04-21T02:55:44.912748+00:00,NOMUSDT,1h,Continuation,Balanced,High,Bullish,0.8235,1.0083,0.495,win,0.002828,0.003063,0.002856,0.7133,0.3909,-0.0571
v2_balanced_current,2026-04-21T07:56:00.174031+00:00,2026-04-21T19:59:42.988141+00:00,NOMUSDT,4h,Continuation,Trending,High,Bullish,0.8792,-5.2148,-1.0,loss,0.003133,0.004427,0.00298,0.9876,0.5386,-0.4842
v2_balanced_current,2026-04-29T17:44:59.999000+00:00,2026-04-29T18:29:59.999000+00:00,NOMUSDT,15m,Continuation,Trending,High,Bullish,0.8353,-3.0557,-1.0,loss,0.00305,0.00303,0.00304,0.6906,-2.1258,0.4357
v2_balanced_current,2026-04-29T19:29:59.999000+00:00,2026-04-29T23:14:59.999000+00:00,NOMUSDT,15m,Continuation,Trending,High,Bullish,0.8358,1.4135,0.495,win,0.003027,0.003025,0.003013,0.6621,-0.0564,1.6774
v2_balanced_current,2026-04-13T19:56:25.061984+00:00,2026-04-13T22:55:15.489680+00:00,FETUSDT,1h,Continuation,Balanced,High,Bullish,0.8508,0.7848,0.495,win,0.231932,0.235328,0.2336,0.8942,3.9165,0.1322
v2_balanced_current,2026-04-25T11:59:59.999000+00:00,2026-04-26T03:59:59.999000+00:00,TURTLEUSDT,4h,Continuation,Trending,High,Bullish,0.8595,-1.9032,-0.3663,loss,0.045639,0.044375,0.04834,0.794,0.0,0.0
v2_balanced_current,2026-04-27T11:59:59.999000+00:00,2026-04-27T15:59:59.999000+00:00,TURTLEUSDT,4h,Continuation,Trending,High,Bullish,0.875,2.5013,0.495,win,0.047555,0.045334,0.05269,0.9318,0.0,0.0
v2_balanced_current,2026-04-11T23:59:59.999000+00:00,2026-04-12T07:59:59.999000+00:00,FIGHTUSDT,4h,Continuation,Trending,High,Bullish,0.8518,-7.6762,-1.0,loss,0.003085,0.003106,0.003375,0.8369,0.0,0.0
v2_balanced_current,2026-04-16T23:59:32.515981+00:00,2026-04-17T07:57:07.469023+00:00,FIGHTUSDT,4h,Continuation,Trending,High,Bullish,0.8729,3.3913,0.495,win,0.003916,0.003518,0.004254,1.0,1.7714,1.97
