candidate,source_signal_id,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,entry_kind,signal_time,entry_touched_at,closed_at,result,close_reason,pnl_pct,r_multiple,position_size_multiplier,allocated_r,entry_price,stop_loss,target_price_1,target_price_2,continuation_quality_ready,continuation_quality_score,market_pressure_4h,flow_alignment,volume_z_15m,oi_delta_z_15m,taker_buy_sell_ratio_delta_15m,ema30,ema100,ema30_slope,ema30_extension_atr,mae_r,mfe_r,entry_efficiency
tf_simple,85,FARTCOINUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-01T16:00:05.434939+00:00,2026-05-01T16:00:05.434939+00:00,2026-05-02T11:58:17.107269+00:00,loss,Fail-Fast Exit,-1.78485287,-0.43005396,1.0626,-0.45697534,0.2073,0.19869642857142858,0.21581753571428572,0.22450714285714288,True,0.2464,0.42389007428054365,0.7292,-1.0596128405215102,0.734190911400064,-0.0934291595253128,0.20180267,0.20080411,0.0003791264,0.1987,0.4301,0.0465,0.0976
tf_simple,86,1000BONKUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-01T16:00:06.216040+00:00,2026-05-01T16:00:06.216040+00:00,2026-05-02T11:58:17.107269+00:00,loss,Fail-Fast Exit,-1.77075099,-0.54988602,1.108,-0.60927372,0.006325,0.006121321428571428,0.006526641785714286,0.006732357142857143,True,0.2464,0.3052281458644802,0.762,-0.6987718174990246,0.23539846455622537,-0.04265739445004024,0.00624342,0.00621343,5.6264e-06,0.0038,0.5499,0.0,0.0
tf_simple,92,FETUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-02T16:03:08.033657+00:00,2026-05-02T16:03:08.033657+00:00,2026-05-02T19:57:41.745591+00:00,win,Partial TP1,0.88954768,0.495,1.2825,0.6348375,0.2045,0.20082499999999998,0.20813825,0.21185,True,0.2464,0.492415906510515,0.8797,-0.002547305733751614,-1.1166797354700226,-0.5876643372531878,0.20070968,0.20512828,0.0002614012,0.3164,0.0,1.1701,1.0
tf_simple,93,PIEVERSEUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-02T16:03:08.692762+00:00,2026-05-02T16:03:08.692762+00:00,2026-05-03T03:57:37.253056+00:00,win,Target 2,6.00724155,1.495,1.2565,1.8784675,0.7346,0.7050821428571429,0.7638226785714286,0.7936357142857143,True,0.2464,0.44958083448501285,0.9223,-1.5896666852005652,0.04654868227816335,-0.532330273591425,0.71917879,0.82254412,0.0010635314,0.5757,0.3828,0.1965,0.3392
tf_simple,97,VIRTUALUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-03T08:02:52.290482+00:00,2026-05-03T08:02:52.290482+00:00,2026-05-04T11:55:39.133173+00:00,win,Continuation Trail Stop,2.44829836,0.81372162,1.2184,0.99143843,0.7382,0.7159892857142857,0.7601886071428572,0.7826214285714286,True,0.2978,0.47394836792255673,0.836,-1.1008715492721188,-2.3467355979117976,0.4196633462331525,0.70848733,0.69848393,0.0020491497,1.4813,0.0,1.6614,1.0
tf_simple,99,MEGAUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-03T15:16:44.293896+00:00,2026-05-03T15:16:44.293896+00:00,2026-05-03T15:42:13.949142+00:00,loss,Invalidation,-0.88082403,-1.0,0.4158,-0.4158,0.12614,0.12502892857142858,0.12729551428571428,0.12836214285714284,True,0.5435,0.12148175952172553,0.625,-0.13467374643480728,1.7938572054374102,0.2062906406612821,0.12601218,0.1321977,-2.56674e-05,0.0218,0.972,0.054,0.0526
tf_simple,101,WLFIUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-03T16:02:47.722101+00:00,2026-05-03T16:02:47.722101+00:00,2026-05-04T19:59:30.855080+00:00,win,Target 2,7.69187976,1.495,1.2621,1.8868395,0.0581,0.055110714285714284,0.061059392857142854,0.06407857142857143,True,0.2978,0.3969865842879471,0.9323,0.16760780825879848,0.9122288670323419,-0.772851630156354,0.06064438,0.0695983,-0.0001754743,0.0742,0.0,1.6726,1.0
tf_simple,104,SEIUSDT,4h,Continuation,Bullish,Balanced,High,market,2026-05-04T04:02:58.217894+00:00,2026-05-04T04:02:58.217894+00:00,2026-05-04T11:55:39.133173+00:00,loss,Invalidation,-1.83617169,-1.0,0.6412,-0.6412,0.05981,0.058711785714285716,0.060897232142857145,0.06200642857142857,True,0.336,0.49282210941668914,0.9788,-0.5639853706187533,-0.11357571959059158,0.9189554983955313,0.05856144,0.05850313,8.81768e-05,0.102,1.0016,0.0,0.0
tf_simple,105,SUIUSDT,4h,Continuation,Bullish,Balanced,Medium,market,2026-05-04T04:07:20.976681+00:00,2026-05-04T04:07:20.976681+00:00,2026-05-04T11:55:39.133173+00:00,loss,Invalidation,-1.33287765,-1.0,1.35,-1.35,0.9405,0.9279642857142858,0.9539132142857142,0.9655714285714284,False,0.0,0.4809456171132491,0.9314,-0.9365721892091992,-0.7956793124416948,0.2693604426081799,0.92311331,0.93131973,0.001233565,1.9567,1.045,0.0,0.0
tf_simple,107,UNIUSDT,4h,Continuation,Bullish,Trending,Medium,market,2026-05-04T04:07:21.370969+00:00,2026-05-04T04:07:21.370969+00:00,2026-05-04T07:56:19.032460+00:00,win,Partial TP1,0.87857463,0.535,1.35,0.72225,3.347,3.2920357142857144,3.4058117857142856,3.456928571428571,False,0.0,0.4682775537101902,0.9358,-0.9097025728077318,-0.2611571661069194,0.0014560420831234433,3.23924746,3.2436995,0.0074312094,9.8422,0.0,0.473,1.0
tf_simple,110,ETCUSDT,24h,Continuation,Bullish,Trending,Medium,market,2026-05-04T04:22:43.817036+00:00,2026-05-04T04:22:43.817036+00:00,2026-05-06T23:59:04.191693+00:00,win,Target 2,6.57894964,1.535,1.2075,1.8535125,8.697,8.32425,9.0958425,9.442499999999999,False,0.4887,-0.05606793185022554,0.7873,0.7752536147238934,-0.7946978390263537,-0.24311414778398338,8.45260053,8.44955152,0.0018206533,8.5535,0.0429,1.8484,0.9773
tf_simple,111,ONDOUSDT,24h,Continuation,Bullish,Trending,High,market,2026-05-04T04:27:47.316952+00:00,2026-05-04T04:27:47.316952+00:00,2026-05-04T23:59:02.733698+00:00,win,Partial TP1,3.329405,0.495,1.2825,0.6348375,0.2982,0.2781428571428572,0.3180565714285714,0.3383142857142857,False,0.4887,-0.02827974888950468,0.9993,-0.03844527136361743,-0.9492214884078065,0.4419086141694468,0.26540317,0.26241134,0.0014756434,0.7314,0.0,0.8326,1.0
tf_simple,114,UNIUSDT,24h,Continuation,Bullish,Trending,Medium,market,2026-05-04T12:21:04.762375+00:00,2026-05-04T12:21:04.762375+00:00,,open,,6.09460279,1.09260338,1.3416,1.46583669,3.298,3.1140357142857145,3.4948417857142857,3.665928571428571,False,0.4887,-0.03306226682832772,0.9826,2.402888015266875,-1.274637306172442,1.1875264519737154,3.258847,3.26645523,-0.0019204828,1.0529,0.1468,1.0926,0.8816
tf_simple,115,币安人生USDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-04T13:06:54.883596+00:00,2026-05-04T13:06:54.883596+00:00,2026-05-04T14:28:20.115867+00:00,loss,Invalidation,-1.61925644,-1.0,0.4471,-0.4471,0.40819,0.40158035714285717,0.4147335464285714,0.42140928571428565,True,0.5019,-0.3433835343474863,0.6774,0.7703436162462908,0.920091870772657,-0.2436700215343519,0.40479425,0.40015434,1.1431e-05,0.3146,0.404,0.2738,0.404
tf_simple,117,LDOUSDT,15m,Continuation,Bullish,Ranging,Medium,market,2026-05-04T14:28:22.637884+00:00,2026-05-04T14:28:22.637884+00:00,2026-05-04T14:58:53.679471+00:00,win,Target 2,0.83942074,1.535,0.467,0.716845,0.3703,0.368275,0.37246675,0.37435,True,0.4776,-0.5436548232622921,0.6721,0.6327541143992098,1.106942679280351,-0.5921026701509663,0.36896551,0.36936799,9.20336e-05,0.366,0.0,2.0247,1.0
tf_simple,123,ENAUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-04T17:11:30.648881+00:00,2026-05-04T17:11:30.648881+00:00,2026-05-04T19:13:41.652757+00:00,loss,Stale Exit,-0.11679969,-0.11666667,0.4144,-0.04834667,0.10274,0.10171142857142856,0.10375828571428572,0.10479714285714287,True,0.5006,-0.1419577453366552,0.624,-0.13784315356778926,0.2773148113309164,0.41489590347469496,0.10286592,0.1029436,-8.6844e-06,0.0189,0.2431,0.9431,0.7951
tf_simple,129,WLFIUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-05T04:08:46.288863+00:00,2026-05-05T04:08:46.288863+00:00,2026-05-05T05:14:54.600483+00:00,loss,Invalidation,-0.92364532,-1.0,1.2538,-1.2538,0.0638,0.06321071428571429,0.06438339285714284,0.06497857142857141,True,0.5042,0.12017222692524959,0.9019,2.92414926338521,0.9485248431248835,0.5367860557486651,0.06365491,0.06222428,-1.06835e-05,0.0236,1.1879,0.0,0.0
tf_simple,130,WLFIUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-05-05T06:05:52.604812+00:00,2026-05-05T06:05:52.604812+00:00,2026-05-05T08:13:15.503350+00:00,win,Continuation Trail Stop,0.37031611,0.54036046,0.6222,0.33621228,0.0641,0.06366071428571429,0.06453489285714285,0.06497857142857143,True,0.4774,0.12017222692524959,0.872,2.1427573899619072,0.8179648565726496,0.37809700844717853,0.06353371,0.06239378,1.14683e-05,0.1239,0.2276,1.5935,0.875
tf_simple,131,ENAUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-05T12:02:37.616545+00:00,2026-05-05T12:02:37.616545+00:00,2026-05-06T11:55:01.116463+00:00,win,Target 2,6.16775246,1.495,0.5837,0.8726315,0.10679,0.10238428571428572,0.11115165714285713,0.11560142857142855,True,0.415,0.3702418911617609,0.8027,0.0165306638252086,-0.0269568650746669,0.11591496820389999,0.1032541,0.10590997,0.0002438549,0.1286,0.0,3.4001,1.0
tf_simple,132,OPUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-05T12:02:39.574411+00:00,2026-05-05T12:02:39.574411+00:00,2026-05-06T19:59:28.691762+00:00,win,Target 2,5.21137392,1.495,0.588,0.87906,0.1294,0.1248892857142857,0.13386560714285714,0.13842142857142856,True,0.415,0.4070473033524394,0.7669,-0.5232323277102581,-0.11804641592597742,-0.9255509033129128,0.12381603,0.12313232,0.0003851012,0.2403,0.4656,2.1283,0.8205
tf_simple,133,TONUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-05T12:02:40.231408+00:00,2026-05-05T12:02:40.231408+00:00,2026-05-06T03:55:43.155623+00:00,win,Target 2,8.23530776,1.495,0.6218,0.929591,1.8326,1.73165,1.9325405,2.0345000000000004,True,0.415,0.14532848045548163,0.8505,-1.513196871459238,-0.36349647093409276,0.1493227578107039,1.44832827,1.37320411,0.0265014988,10.4638,0.2159,2.3338,0.9153
tf_simple,135,1000PEPEUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-05-05T12:28:10.950345+00:00,2026-05-05T12:28:10.950345+00:00,2026-05-05T13:59:50.902221+00:00,win,Target 2,0.67830102,1.495,1.2552,1.876524,0.0040877,0.004069153571428571,0.004106060964285714,0.004124792857142857,True,0.4742,0.09732088448463323,0.9054,1.7378141734899568,1.4575534532394976,0.5027991486120396,0.00406662,0.00403863,1.4539e-06,0.007,0.2157,1.6337,0.8834
tf_simple,138,FARTCOINUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-05T16:02:13.082801+00:00,2026-05-05T16:02:13.082801+00:00,2026-05-06T11:55:01.116463+00:00,win,Target 2,6.25720072,1.495,1.2825,1.9173375,0.2222,0.2129,0.231407,0.24080000000000001,True,0.3766,0.5920492293176116,0.9717,-0.8459539865549534,-1.4192576508481531,0.43961497809071004,0.20796739,0.20371525,0.0009815591,0.5101,0.0,3.0108,1.0
tf_simple,140,APTUSDT,15m,Continuation,Bullish,Ranging,Medium,market,2026-05-05T18:14:45.856191+00:00,2026-05-05T18:14:45.856191+00:00,2026-05-05T18:25:00.610686+00:00,loss,Invalidation,-0.49882329,-1.0,0.4563,-0.4563,0.9773,0.972425,0.9825162499999999,0.9870499999999999,True,0.4803,-0.6178563034783959,0.6538,0.5974957153846104,0.14737392991040726,0.00869827522495261,0.97475299,0.97695673,0.0001756562,0.7659,1.8256,0.0,0.0
tf_simple,141,TSTUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-05T19:15:53.330113+00:00,2026-05-05T19:15:53.330113+00:00,2026-05-05T20:11:49.871771+00:00,win,Partial TP1,0.79935873,0.495,0.4207,0.2082465,0.020601,0.02026832142857143,0.020930351785714285,0.021266357142857142,True,0.4387,0.39909124248098876,0.633,0.0,1.0431386040921424,0.37440050735967934,0.02066721,0.02227712,-1.74631e-05,0.0062,0.7936,0.6342,0.4442
tf_simple,142,ICPUSDT,4h,Continuation,Bullish,Trending,Medium,market,2026-05-05T20:01:42.287320+00:00,2026-05-05T20:01:42.287320+00:00,2026-05-05T23:56:05.661486+00:00,win,Target 2,4.9275786,1.535,1.3412,2.058742,2.59,2.5068571428571427,2.678962857142857,2.7562857142857142,True,0.3766,0.41052022425143747,0.9871,-0.3029327940702178,-0.6870615842351084,-0.3433235354261437,2.40603381,2.44601433,0.0126873237,8.5962,0.0,0.7457,1.0
tf_simple,143,HBARUSDT,4h,Continuation,Bullish,Balanced,High,market,2026-05-05T20:01:42.496464+00:00,2026-05-05T20:01:42.496464+00:00,2026-05-07T03:59:59.999000+00:00,win,Partial TP1,0.82758253,0.495,1.2612,0.624294,0.09036,0.08884928571428571,0.09185560714285713,0.09338142857142856,True,0.3766,0.4720661940762252,0.9333,0.0014921700215377457,-0.5784980111608455,0.67089879890871,0.08864042,0.08917978,0.0001185916,0.1543,0.3905,1.6151,0.8053
tf_simple,144,1000PEPEUSDT,24h,Continuation,Bullish,Trending,High,market,2026-05-05T21:18:05.742088+00:00,2026-05-05T21:18:05.742088+00:00,,open,,1.01082174,0.15821102,1.0835,0.17142164,0.0042045,0.003935871428571429,0.004483873714285714,0.004741757142857142,False,0.5683,0.22377614359791934,0.7051,1.4175398189214368,-0.4752845726185129,0.5057531264019645,0.00387246,0.00383276,7.5407e-06,0.0078,0.3365,0.1582,0.3198
tf_simple,145,ALGOUSDT,24h,Continuation,Bullish,Trending,High,market,2026-05-05T21:18:07.304378+00:00,2026-05-05T21:18:07.304378+00:00,2026-05-07T12:15:51.288449+00:00,win,Partial TP1,4.11335404,0.52,0.5186,0.269672,0.1196,0.11013928571428572,0.12943914285714286,0.13852142857142857,False,0.5683,0.05952799007053988,0.7109,6.602913522127013,2.0223137946743375,1.0238341367762467,0.1066553,0.10355178,0.0003341175,0.2455,0.0,0.8139,1.0
tf_simple,148,PUMPUSDT,4h,Continuation,Bullish,Trending,High,market,2026-05-06T00:01:14.387127+00:00,2026-05-06T00:01:14.387127+00:00,2026-05-06T11:55:01.116463+00:00,win,Target 2,4.06062182,1.495,1.2651,1.8913245,0.001854,0.0018036428571428572,0.0019038535714285714,0.0019547142857142853,True,0.4105,0.3816719441850282,0.927,-0.8714752734154566,-0.25394244271884864,0.25013893758713013,0.00182146,0.00181212,2.2441e-06,0.0018,0.0,2.6213,1.0
tf_simple,150,WIFUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-05-06T03:25:06.402779+00:00,2026-05-06T03:25:06.402779+00:00,2026-05-06T03:40:28.330266+00:00,win,Partial TP1,0.76623837,0.495,1.2038,0.595881,0.2118,0.20852142857142858,0.21504578571428568,0.2183571428571428,True,0.4612,0.2620021160216756,0.8233,1.3054856622978463,1.1294466863876615,-0.27077600928260903,0.20469708,0.19869,0.0004898568,0.6883,0.0,1.2505,1.0
