Symbol,Timeframe,Timestamp,Setup,Regime,Confidence,Bias,PnL_Pct,Result
PENGUUSDT,4h,2026-04-21 11:55:16.329497+00:00,Continuation,Trending,0.9018,Bullish,-4.6467,loss
PENGUUSDT,1h,2026-04-22 02:57:37.826873+00:00,Continuation,Trending,0.9075,Bullish,3.2717,win
PENGUUSDT,15m,2026-04-22 18:42:33.629124+00:00,Continuation,Balanced,0.8493,Bullish,-1.0627,loss
PENGUUSDT,15m,2026-04-23 12:14:15.534434+00:00,Continuation,Balanced,0.8018,Bullish,-0.0831,loss
PENGUUSDT,4h,2026-04-26 11:55:37.716802+00:00,Continuation,Trending,0.8971,Bullish,-4.0542,loss
XMRUSDT,1h,2026-04-08 12:58:27.663769+00:00,Continuation,Balanced,0.8533,Bullish,0.5472,win
WCTUSDT,1h,2026-04-25 21:59:59.999000+00:00,Continuation,Trending,0.8979,Bullish,1.9939,win
SPKUSDT,15m,2026-04-22 13:59:59.999000+00:00,Continuation,Trending,0.8759,Bullish,2.4443,win
SPKUSDT,1h,2026-04-27 10:59:58.741933+00:00,Continuation,Trending,0.4646,Bearish,-0.0845,loss
CHZUSDT,4h,2026-04-19 19:59:59.999000+00:00,Continuation,Trending,0.8501,Bullish,-3.4402,loss
CHZUSDT,4h,2026-04-20 15:59:59.999000+00:00,Continuation,Trending,0.8493,Bullish,2.5073,win
CHZUSDT,4h,2026-04-23 23:59:59.999000+00:00,Continuation,Trending,0.887,Bullish,-5.4595,loss
CHZUSDT,15m,2026-04-24 12:25:15.778944+00:00,Continuation,Ranging,0.7851,Bullish,-0.2905,loss
FIGHTUSDT,4h,2026-04-16 23:59:32.515981+00:00,Continuation,Trending,0.8729,Bullish,3.3913,win
SPXUSDT,15m,2026-04-23 11:58:56.923129+00:00,Continuation,Balanced,0.8766,Bullish,-0.109,loss
CRVUSDT,1h,2026-04-13 16:59:59.999000+00:00,Continuation,Balanced,0.8699,Bullish,2.9328,win
CRVUSDT,15m,2026-04-14 06:59:21.800171+00:00,Continuation,Ranging,0.8603,Bullish,-0.2536,loss
CRVUSDT,15m,2026-04-14 21:40:31.955327+00:00,Continuation,Ranging,0.827,Bullish,1.0099,win
CRVUSDT,15m,2026-04-28 13:29:32.842533+00:00,Continuation,Balanced,0.8408,Bullish,-0.4405,loss
AXSUSDT,4h,2026-04-24 15:59:59.999000+00:00,Continuation,Balanced,0.8663,Bullish,3.6434,win
AXSUSDT,15m,2026-04-26 19:28:36.871381+00:00,Continuation,Balanced,0.8336,Bullish,2.1445,win
AXSUSDT,15m,2026-04-27 14:13:33.801284+00:00,Continuation,Balanced,0.8639,Bullish,0.7818,win
VANAUSDT,4h,2026-04-24 03:59:59.999000+00:00,Continuation,Trending,0.8903,Bullish,1.5227,win
ASTERUSDT,4h,2026-04-11 19:58:36.974992+00:00,Continuation,Balanced,0.8842,Bullish,-1.277,loss
ASTERUSDT,1h,2026-04-14 13:56:58.409123+00:00,Continuation,Balanced,0.9079,Bullish,-1.2758,loss
AEROUSDT,4h,2026-04-21 15:59:59.999000+00:00,Continuation,Trending,0.4861,Bearish,-4.7142,loss
AEROUSDT,4h,2026-04-22 07:59:59.999000+00:00,Continuation,Trending,0.8893,Bullish,2.2832,win
AEROUSDT,1h,2026-04-26 08:59:59.999000+00:00,Continuation,Balanced,0.9086,Bullish,2.6133,win
AEROUSDT,15m,2026-04-27 17:44:02.680727+00:00,Continuation,Balanced,0.8605,Bullish,-0.0867,loss
ATOMUSDT,4h,2026-04-12 03:59:59.999000+00:00,Continuation,Balanced,0.4991,Bearish,1.0992,win
ATOMUSDT,1h,2026-04-22 05:58:31.963211+00:00,Continuation,Balanced,0.9151,Bullish,-0.5837,loss
TRUMPUSDT,4h,2026-04-08 07:57:26.669608+00:00,Continuation,Balanced,0.8764,Bullish,-2.6018,loss
TRUMPUSDT,4h,2026-04-15 23:59:41.047592+00:00,Continuation,Balanced,0.9088,Bullish,1.2937,win
TRUMPUSDT,15m,2026-04-16 15:43:45.961126+00:00,Continuation,Balanced,0.8323,Bullish,1.4484,win
币安人生USDT,15m,2026-04-16 05:10:33.955288+00:00,Continuation,Trending,0.7916,Bullish,2.4834,win
币安人生USDT,15m,2026-04-28 09:11:16.333935+00:00,Continuation,Balanced,0.8724,Bullish,-1.3048,loss
BNBUSDT,4h,2026-04-14 15:59:13.419632+00:00,Continuation,Balanced,0.8822,Bullish,-1.3346,loss
LISTAUSDT,4h,2026-04-18 15:56:41.645594+00:00,Continuation,Trending,0.8821,Bullish,-5.6584,loss
SEIUSDT,4h,2026-04-22 15:59:59.999000+00:00,Continuation,Trending,0.8611,Bullish,-3.4886,loss
SEIUSDT,15m,2026-04-23 06:40:49.819716+00:00,Continuation,Ranging,0.8433,Bullish,0.3822,win
SEIUSDT,15m,2026-04-26 14:24:52.879520+00:00,Continuation,Balanced,0.8271,Bullish,1.3656,win
MAGMAUSDT,15m,2026-04-24 10:26:30.037576+00:00,Continuation,Balanced,0.8675,Bullish,0.9548,win
GTCUSDT,15m,2026-04-20 09:57:26.069221+00:00,Continuation,Balanced,0.8026,Bullish,-0.1391,loss
SUSHIUSDT,15m,2026-04-18 16:42:30.217195+00:00,Continuation,Ranging,0.8366,Bearish,-0.2116,loss
WIFUSDT,15m,2026-04-05 17:26:22.566118+00:00,Continuation,Ranging,0.3906,Bearish,-0.0152,loss
WIFUSDT,4h,2026-04-06 11:56:30.624019+00:00,Continuation,Trending,0.8998,Bullish,-3.2943,loss
WIFUSDT,1h,2026-04-07 19:58:07.126140+00:00,Continuation,Trending,0.8925,Bullish,0.7897,win
WIFUSDT,1h,2026-04-09 15:56:58.765136+00:00,Continuation,Trending,0.8657,Bullish,2.0284,win
WIFUSDT,1h,2026-04-29 07:58:12.459559+00:00,Continuation,Balanced,0.8991,Bullish,1.2279,win
STOUSDT,15m,2026-04-09 13:13:26.253692+00:00,Continuation,Balanced,0.7989,Bullish,-1.0096,loss
BANANAS31USDT,15m,2026-04-26 06:55:41.227725+00:00,Continuation,Balanced,0.8351,Bullish,-1.3806,loss
VVVUSDT,1h,2026-04-05 17:57:05.618344+00:00,Continuation,Trending,0.905,Bullish,-1.0801,loss
VVVUSDT,15m,2026-04-06 02:55:59.979137+00:00,Continuation,Balanced,0.8068,Bullish,-0.072,loss
VVVUSDT,15m,2026-04-07 10:27:01.493724+00:00,Continuation,Balanced,0.4205,Bearish,-0.0387,loss
VVVUSDT,15m,2026-04-11 07:57:49.609646+00:00,Continuation,Balanced,0.8241,Bullish,0.4968,win
VVVUSDT,4h,2026-04-20 19:59:59.999000+00:00,Continuation,Trending,0.8809,Bullish,-0.2314,loss
VVVUSDT,4h,2026-04-26 07:59:59.999000+00:00,Continuation,Trending,0.9041,Bullish,2.163,win
ALGOUSDT,1h,2026-04-05 13:57:07.699601+00:00,Continuation,Trending,0.8912,Bullish,-0.0792,loss
ALGOUSDT,15m,2026-04-26 14:55:47.294101+00:00,Continuation,Balanced,0.862,Bullish,-0.4602,loss
