EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result,EMA30,EMA100,EntryPrice
2026-04-09T15:56:58.765136+00:00,,WIFUSDT,1h,Continuation,Trending,0.8657,Bullish,Long,2.0284,win,0.19261,0.1884,0.1973
2026-04-08T07:57:26.669608+00:00,,HYPEUSDT,1h,Continuation,Balanced,0.9067,Bullish,Long,-0.1926,loss,37.638673,36.737849,39.289
2026-04-13T16:57:21.952368+00:00,,HYPEUSDT,1h,Continuation,Balanced,0.9133,Bullish,Long,1.2357,win,41.651028,40.935905,43.004
2026-04-16T17:56:47.130198+00:00,,LINKUSDT,1h,Continuation,Balanced,0.873,Bullish,Long,0.7783,win,9.260687,9.124056,9.403
2026-04-16T23:59:32.515981+00:00,,LINKUSDT,24h,Continuation,Trending,0.8942,Bullish,Long,-2.0835,loss,8.967223,8.859992,9.594814
2026-04-14T15:59:13.419632+00:00,,XAGUSDT,4h,Continuation,Balanced,0.8893,Bullish,Long,1.001,win,75.737546,74.420871,79.116647
2026-04-14T23:57:57.192621+00:00,,XAGUSDT,24h,Continuation,Trending,0.8867,Bullish,Long,-0.4713,loss,74.175399,73.357877,79.53
2026-04-23T07:44:59.999000+00:00,,REDUSDT,15m,Continuation,Trending,0.8053,Bullish,Long,-2.0619,loss,0.131889,0.130666,0.1358
2026-04-07T10:57:42.648157+00:00,,CLUSDT,15m,Continuation,Balanced,0.7892,Bullish,Long,0.8342,win,113.573218,113.093188,113.98
2026-04-15T11:55:50.955164+00:00,,AAVEUSDT,1h,Continuation,Balanced,0.8887,Bullish,Long,2.1462,win,99.615824,96.665636,101.764941
2026-04-16T05:10:33.955288+00:00,,币安人生USDT,15m,Continuation,Trending,0.7916,Bullish,Long,2.4834,win,0.336454,0.330813,0.3387
2026-04-28T09:11:16.333935+00:00,,币安人生USDT,15m,Continuation,Balanced,0.8724,Bullish,Long,-1.3048,loss,0.36715,0.362939,0.36977
2026-04-08T03:27:03.587110+00:00,,EDGEUSDT,15m,Continuation,Balanced,0.8704,Bullish,Long,2.5504,win,1.075257,1.02892,1.0802
2026-04-22T03:58:41.377898+00:00,,EDGEUSDT,15m,Continuation,Balanced,0.8649,Bullish,Long,2.0357,win,1.36623,1.358376,1.39385
2026-04-25T12:59:59.999000+00:00,,SONICUSDT,15m,Continuation,Balanced,0.8983,Bullish,Long,2.6463,win,0.037242,0.037044,0.03771
2026-04-10T01:44:24.801299+00:00,,NEARUSDT,15m,Continuation,Balanced,0.8042,Bullish,Long,-0.6254,loss,1.363752,1.351908,1.36942
2026-04-18T06:57:05.583463+00:00,,NEARUSDT,1h,Continuation,Balanced,0.8486,Bullish,Long,-1.1645,loss,1.410793,1.400922,1.417415
2026-04-07T19:58:07.126140+00:00,,1000PEPEUSDT,1h,Continuation,Balanced,0.8963,Bullish,Long,2.1378,win,0.003388,0.003379,0.00346
2026-04-11T21:56:14.669046+00:00,,1000PEPEUSDT,1h,Continuation,Balanced,0.8307,Bullish,Long,-1.6735,loss,0.003616,0.003554,0.003739
2026-04-15T22:43:12.392554+00:00,,1000PEPEUSDT,15m,Continuation,Balanced,0.8574,Bullish,Long,-0.8251,loss,0.003708,0.003654,0.003755
2026-04-26T11:55:37.716802+00:00,,1000PEPEUSDT,4h,Continuation,Balanced,0.9061,Bullish,Long,-2.0948,loss,0.003835,0.003713,0.003942
2026-04-27T03:57:34.172163+00:00,,1000PEPEUSDT,4h,Continuation,Trending,0.9017,Bullish,Long,-2.2772,loss,0.003858,0.00373,0.004005
2026-04-28T18:59:59.999000+00:00,,BROCCOLI714USDT,1h,Continuation,Trending,0.8952,Bullish,Long,8.3437,win,0.016887,0.016211,0.01962
2026-04-20T15:59:59.999000+00:00,,CHZUSDT,4h,Continuation,Trending,0.8493,Bullish,Long,2.5073,win,0.041741,0.041501,0.04445
2026-04-23T23:59:59.999000+00:00,,CHZUSDT,4h,Continuation,Trending,0.887,Bullish,Long,-5.4595,loss,0.045909,0.043406,0.05024
2026-04-24T12:25:15.778944+00:00,,CHZUSDT,15m,Continuation,Ranging,0.7851,Bullish,Long,-0.2905,loss,0.047907,0.047521,0.04819
2026-04-07T12:54:51.737907+00:00,,ARIAUSDT,1h,Continuation,Trending,0.502,Bearish,Short,2.4442,win,0.580337,0.607697,0.5212
2026-04-22T07:55:28.153997+00:00,,ETHUSDT,4h,Continuation,Balanced,0.8868,Bullish,Long,-0.688,loss,2327.711534,2267.103429,2389.48
2026-04-26T19:59:59.999000+00:00,,NAORISUSDT,4h,Continuation,Trending,0.8711,Bullish,Long,3.5827,win,0.069523,0.061386,0.08734
2026-04-25T11:59:59.999000+00:00,,SOMIUSDT,1h,Continuation,Balanced,0.8944,Bullish,Long,0.4802,win,0.171152,0.168263,0.1734
2026-04-22T00:14:59.999000+00:00,,CHIPUSDT,15m,Continuation,Trending,0.8964,Bullish,Long,-6.7045,loss,0.059656,0.050047,0.0629
2026-04-19T23:26:23.208449+00:00,,PHBUSDT,15m,Continuation,Trending,0.7999,Bullish,Long,-2.8294,loss,0.141164,0.139893,0.142578
2026-04-17T23:56:41.953640+00:00,,BTCUSDT,24h,Continuation,Trending,0.8824,Bullish,Long,-1.0196,loss,71376.149623,69768.653352,77073.924703
2026-04-23T08:22:28.319461+00:00,,MASKUSDT,24h,Continuation,Trending,0.8946,Bullish,Long,10.1631,win,0.444798,0.436405,0.501183
2026-04-28T07:59:54.023104+00:00,,MASKUSDT,1h,Continuation,Balanced,0.8582,Bullish,Long,-1.6716,loss,0.528471,0.516585,0.5448
2026-04-19T14:11:16.889975+00:00,,BLURUSDT,15m,Continuation,Balanced,0.8474,Bullish,Long,3.6474,win,0.030577,0.028579,0.0311
2026-04-22T19:58:52.579286+00:00,,BLURUSDT,1h,Continuation,Trending,0.8794,Bullish,Long,-3.5539,loss,0.032645,0.03115,0.035735
2026-04-06T11:56:30.624019+00:00,,PIPPINUSDT,1h,Continuation,Trending,0.5077,Bearish,Short,-3.1502,loss,0.04074,0.044014,0.033155
2026-04-11T03:57:51.901254+00:00,,PIPPINUSDT,4h,Continuation,Trending,0.8321,Bearish,Short,-0.694,loss,0.033272,0.039256,0.029305
