strategy,entry_time,exit_time,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,result,close_reason,r_multiple,allocated_r,pnl_pct,entry_price,stop_loss,target_price_1,target_price_2,confidence,flow_alignment,structure_strength,clarity_confidence,volume_z_15m,oi_delta_z_15m,market_pressure_4h,entry_type
v2_full_setup_ready_entry,2026-04-01T03:59:59.999000+00:00,2026-04-01T07:59:59.999000+00:00,ALGOUSDT,1h,Accumulation,Bullish,Trending,High,win,Partial TP1,0.5,0.3576,1.87040507,0.0991,0.09539285714285714,0.10280714285714285,0.1065142857142857,0.8538,0.5652,0.85,0.8538,,,0.7853697600159725,Accumulation Watch
v2_full_setup_ready_entry,2026-04-01T08:44:59.999000+00:00,2026-04-01T09:59:59.999000+00:00,ALGOUSDT,15m,Continuation,Bullish,Balanced,High,loss,Fail-Fast Exit,-0.17204301,-0.07793548,-0.3868472,0.1034,0.10107500000000001,0.10570175,0.10805,0.8252,0.6839,0.85,0.8252,0.4235990074115594,0.9562022841044874,0.7641297463830492,Continuation Pullback
v2_full_setup_ready_entry,2026-04-01T11:59:59.999000+00:00,2026-04-01T23:59:59.999000+00:00,ALGOUSDT,4h,Accumulation,Bullish,Trending,High,loss,Invalidation,-1.0,-0.7573,-5.12459372,0.1065,0.1010423076923077,0.1119576923076923,0.1174153846153846,0.8433,0.6073,1.0,0.8433,0.6249046903976109,-2.239501759187748,0.2325407548742316,Accumulation Watch
v2_full_setup_ready_entry,2026-04-02T00:59:59.999000+00:00,2026-04-02T01:29:59.999000+00:00,ALGOUSDT,15m,Accumulation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.4692,-1.66274075,0.1031,0.10138571428571429,0.10481428571428571,0.10652857142857142,0.7295,0.3192,0.85,0.7295,-0.2428356769717008,-0.23753279882307357,-0.42209011989234113,Accumulation Watch
v2_full_setup_ready_entry,2026-04-02T02:14:59.999000+00:00,2026-04-02T07:11:46.787275+00:00,ALGOUSDT,15m,Accumulation,Bearish,Balanced,High,win,Partial TP1,0.5,0.10665,0.93098312,0.1007,0.102575,0.098825,0.09695,0.6858,0.2767,0.85,0.6858,-0.5455885028669678,-0.40037506723713623,-0.42209011989234113,Accumulation Watch
v2_full_setup_ready_entry,2026-04-02T11:11:39.014411+00:00,2026-04-02T11:57:27.905239+00:00,ALGOUSDT,15m,Accumulation,Bullish,Balanced,High,loss,Invalidation,-1.0,-0.5474,-1.08852158,0.10416166,0.10302783785714285,0.10529548214285715,0.1064293042857143,0.7644,0.3974,1.0,0.7644,1.054215294060407,-0.958913286054212,-0.0643346795963572,Accumulation Watch
v2_full_setup_ready_entry,2026-04-02T12:12:44.024326+00:00,2026-04-02T13:13:51.905844+00:00,ALGOUSDT,15m,Accumulation,Bearish,Balanced,High,loss,Invalidation,-1.0,-0.2742,-1.24943284,0.1014131,0.10268018857142858,0.10014601142857144,0.09887892285714286,0.7915,0.3983,0.85,0.7915,-0.6744907594765824,-0.7188808269209048,-0.05922096031068157,Accumulation Watch
v2_full_setup_ready_entry,2026-04-02T18:41:06.198129+00:00,2026-04-02T19:42:07.952044+00:00,ALGOUSDT,15m,Accumulation,Bullish,Balanced,High,loss,Fail-Fast Exit,-0.23929761,-0.20007673,-0.4262308,0.10896444,0.1070235932142857,0.11090528678571429,0.11284613357142859,0.8101,0.6861,0.85,0.8101,2.5073779145458372,-1.7357378589448114,0.7485911335754645,Accumulation Watch
v2_full_setup_ready_entry,2026-04-03T07:59:59.999000+00:00,2026-04-04T15:59:59.999000+00:00,ALGOUSDT,4h,Accumulation,Bullish,Trending,High,loss,Stale Exit,-0.1971831,-0.12984507,-1.49875104,0.1201,0.11097142857142857,0.12922857142857141,0.13835714285714285,0.8016,0.5085,1.0,0.8016,1.2300329469987685,0.0,0.17141535295441482,Accumulation Watch
v2_full_setup_ready_entry,2026-04-04T17:57:43.867730+00:00,2026-04-04T19:55:04.832510+00:00,ALGOUSDT,15m,Accumulation,Bearish,Balanced,High,loss,Stale Exit,-0.03420852,-0.00785086,-0.04032072,0.11907028,0.12047373142857143,0.11766682857142857,0.11626337714285714,0.6059,0.3091,0.85,0.6059,-0.543160521435597,-1.4764046025529298,-0.27096559150768906,Accumulation Watch
