id,symbol,timeframe,setup_type,bias,state,market_regime,volatility_regime,result,close_reason,timestamp,entry_touched_at,closed_at,r_multiple,allocated_r,pnl_pct,max_profit_pct,max_drawdown_pct,entry_price,stop_loss,target_price_1,target_price_2,engine_tag,entry_type,strategy_version,flow_alignment,structure_strength,clarity_confidence,trend_alignment,trap_risk,conflict_score,scenario_label,scenario_score,decision_signal,decision_market_regime,decision_volatility_regime,volume_z_15m,oi_delta_z_15m,taker_buy_sell_ratio_delta_15m,funding_level_15m,long_short_ratio_delta_15m,market_pressure_4h,mae_r,mfe_r,entry_efficiency,history_log_count,history_events,update_count,log_min_r,log_max_r,first_update_r,last_update_r,first_update_taker_ratio,last_update_taker_ratio,first_update_long_short_ratio,last_update_long_short_ratio,first_update_funding,last_update_funding,close_log_reason
18,QUSDT,15m,Continuation,Bullish,Long Build-up,Balanced,High,loss,Invalidation,2026-04-25T08:56:44.653847+00:00,2026-04-25T08:56:44.653847+00:00,2026-04-25T09:57:49.020914+00:00,-1.0,-0.441,-1.34165481,1.15445489,-1.81547342,0.010741,0.010596892857142859,0.010883666071428572,0.011029214285714285,v2_balanced,Continuation Pullback,v2_balanced,0.6659,0.85,0.8131,0.72,0.1782,0.1,weak_propulsion,0.65,Breakout Watch,,High,0.4766332751885897,1.7190682796849495,-0.20254078497238387,5e-05,0.015397855171228603,-0.26417931914575477,1.3532,0.8605,0.3887,14,"update,update,update,update,update,update,update,update,update,update,update,update,update,close",13,,,,,1.0667,0.5239,1.3736055067647757,1.4515812699190977,5e-05,5e-05,Invalidation
19,ADAUSDT,15m,Continuation,Bearish,Pre-Squeeze,Ranging,Medium,loss,Invalidation,2026-04-25T11:44:49.187391+00:00,2026-04-25T11:44:49.187391+00:00,2026-04-25T11:44:49.187391+00:00,-1.0,-1.1922,-0.27254145,0.0,0.0,0.2516,0.2522857142857143,0.2508662857142857,0.2502285714285714,v2_balanced,Continuation Pullback,v2_balanced,0.779,0.85,0.8353,0.72,0.1856,0.1,range_context,0.4436,Breakout Watch,,Medium,2.283674359381274,0.5836468299019818,0.6271850367782457,0.0001,-0.006827544765880766,0.20911764555061185,0.0,0.0,,2,"update,close",1,,,,,1.9079,1.9079,2.0012004801920766,2.0012004801920766,0.0001,0.0001,Invalidation
9,TRUMPUSDT,24h,Continuation,Bullish,Long Build-up,Trending,High,loss,Invalidation,2026-04-24T15:48:44.389831+00:00,2026-04-24T15:48:44.389831+00:00,2026-04-25T12:35:43.088933+00:00,-1.0,-1.0372,-6.79343828,6.65980089,-11.671816,2.913,2.7151071428571427,3.1089139285714285,3.308785714285714,v2_balanced,Continuation Pullback,v2_balanced,0.7121,0.85,0.8332,0.72,0.2032,0.0,mixed_context,0.8122,Breakout Watch,,High,0.7501988660128784,0.13301932378930897,0.3641922694245219,5e-05,0.003619192944692373,0.703740248961152,1.7181,0.9803,0.3633,22,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,close",21,,,,,1.6714,2.3402,2.161555485298767,2.380662609871535,5e-05,5e-05,Invalidation
20,MOVRUSDT,15m,Continuation,Bullish,Long Build-up,Balanced,Medium,loss,Invalidation,2026-04-25T23:12:16.377462+00:00,2026-04-25T23:12:16.377462+00:00,2026-04-26T00:03:10.863506+00:00,-1.0,-0.4603,-2.03716331,0.0,-3.42084328,2.514,2.462785714285714,2.568799285714286,2.6164285714285715,v2_balanced,Continuation Pullback,v2_balanced,0.655,0.85,0.8685,0.9,0.181,0.0,weak_propulsion,0.65,Breakout Watch,,Medium,-0.44938529738586536,1.0362055328802875,0.09057297764405747,-0.00158115,0.026174487805004504,0.7437894030405284,1.6792,0.0,0.0,12,"update,update,update,update,update,update,update,update,update,update,update,close",11,,,,,0.9512,0.5242,1.2045855379188712,1.2158209616662974,-0.00158115,-0.00158115,Invalidation
21,ENJUSDT,15m,Continuation,Bullish,Long Build-up,Balanced,High,loss,Invalidation,2026-04-26T00:59:12.278126+00:00,2026-04-26T00:59:12.278126+00:00,2026-04-26T00:59:12.278126+00:00,-1.0,-0.4527,-0.96529571,0.0,0.0,0.06471,0.06408535714285715,0.06532839642857143,0.0659592857142857,v2_balanced,Continuation Pullback,v2_balanced,0.6823,0.85,0.837,0.72,0.1711,0.0,weak_propulsion,0.65,Breakout Watch,,High,0.09086899517017803,2.1911449216870276,0.21721738981903904,-0.00015944,0.014089352907529225,0.04831177509499676,0.0,0.0,,2,"update,close",1,,,,,1.1492,1.1492,0.9758940920766647,0.9758940920766647,-0.00015944,-0.00015944,Invalidation
11,INJUSDT,24h,Continuation,Bullish,Long Build-up,Trending,High,win,Partial TP1,2026-04-24T20:48:58.464504+00:00,2026-04-24T20:48:58.464504+00:00,2026-04-26T07:36:21.563218+00:00,0.94877066,0.60294375,5.2664755,11.86536558,0.0,3.5355,3.33925,3.9078925,4.1965,v2_balanced,Continuation Pullback,v2_balanced,0.9691,0.85,0.879,0.72,0.2079,0.0,weak_propulsion,0.55,Breakout Watch,,High,0.43929557056978275,-0.3296393691972692,0.7587665909414772,-5.35e-05,-0.0033976934880732834,0.3484411772955344,0.0,2.1376,1.0,37,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,tp1_hit,close",35,,,,,1.772,1.2272,1.7502750275027503,2.0093289196509176,-5.35e-05,-5.35e-05,Partial TP1
4,MASKUSDT,24h,Continuation,Bullish,Long Build-up,Trending,High,win,Target 2,2026-04-23T08:02:06.301134+00:00,2026-04-23T08:02:06.301134+00:00,2026-04-26T11:14:30.474460+00:00,1.49500003,1.59815504,10.06109132,22.91812728,0.0,0.49675071,0.4633202475,0.529846867875,0.563611635,v2_balanced,Continuation Pullback,v2_balanced,0.7357,0.85,0.8223,0.72,0.1974,0.1,climax_event,1.0,Breakout Watch,,High,3.3635046803020225,2.3144416571905424,0.3146976718955883,-4.466e-05,0.009091819807280577,0.9405775364348672,0.0,3.4055,1.0,60,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,tp1_hit,update,update,update,update,update,update,update,update,update,update,update,update,update,close",58,,,,,,1.1674,,1.46669955599408,-4.466e-05,0.0,Target 2
25,KATUSDT,15m,Continuation,Bullish,Long Build-up,Balanced,High,win,Breakeven SL,2026-04-26T10:27:02.285410+00:00,2026-04-26T10:27:02.285410+00:00,2026-04-26T11:14:54.624426+00:00,0.4949999,0.44535141,1.1334505,2.21309391,-0.12608693,0.01285621,0.012561828571428572,0.013147647614285714,0.013444972857142856,v2_balanced,Continuation Pullback,v2_balanced,0.6799,0.85,0.8139,0.72,0.1852,0.1,mixed_context,0.7106,Breakout Watch,,High,-0.6744907594765881,1.0935093375785119,-0.004859761242507893,-0.00070656,0.14352258443311816,-0.01702290038575171,0.0551,0.9665,0.9461,12,"update,update,update,update,update,update,update,update,tp1_hit,update,update,close",10,,,,,0.9338,0.8391,1.181500872600349,1.0,-0.00070656,-0.00049162,Breakeven SL
26,ENSOUSDT,15m,Continuation,Bullish,Long Build-up,Trending,High,loss,Invalidation,2026-04-26T10:47:38.256923+00:00,2026-04-26T10:47:38.256923+00:00,2026-04-26T12:05:46.439520+00:00,-1.0,-1.0224,-5.54077956,2.5819976,-5.69458191,1.0823,1.0223321428571428,1.1416681785714287,1.2022357142857145,v2_balanced,Continuation Pullback,v2_balanced,0.6992,0.85,0.858,0.9,0.1945,0.1,climax_event,1.0,Breakout Watch,,High,-1.2948441371673687,0.3969056748196703,0.1922989855661223,-0.01191316,0.08443344619270388,0.8422706682683578,1.0278,0.466,0.312,17,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,close",16,,,,,1.121,1.1929,1.1226915729144555,1.22667557336896,-0.01191316,-0.00650742,Invalidation
30,SOONUSDT,15m,Continuation,Bullish,Long Build-up,Balanced,High,loss,Invalidation,2026-04-26T11:55:37.716802+00:00,2026-04-26T11:55:37.716802+00:00,2026-04-26T14:07:45.766532+00:00,-1.0,-0.5419,-1.90369914,1.141688,-1.95662954,0.19042593,0.1868007932142857,0.19401481541785714,0.1976762035714286,v2_balanced,Continuation Pullback,v2_balanced,0.7433,0.85,0.8525,0.72,0.1592,0.0,weak_propulsion,0.55,Breakout Watch,,High,-0.8327403392532243,1.0200315340760813,0.11754848623014438,-0.00021928,0.20107137902218652,-0.06901810078247064,1.0278,0.5997,0.3685,26,"update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,close",25,,,,,1.0138,0.9477,1.8620492272467086,1.7563395810363835,-0.00021928,-0.00029241,Invalidation
