symbol,timeframe,timestamp,body_change,rolling_change,volume_z,effort_result_state,absorption_candidate,climax_candidate,efficient_move_candidate,oi_build_type,oi_semantic_state,taker_price_divergence,crowding_status,liquidation_context,setup_type,market_state,bias,action_status
XRPUSDT,24h,2026-04-22T08:00:00+00:00,0.006265945370337166,0.006265945370337166,-0.5799752533852505,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-22T12:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-22T12:00:00+00:00,-0.00027515993671318426,-0.00034392626220934445,19.557387896230072,Absorption,True,False,False,unknown,unreliable,True,crowded_short,liquidation_noise,None,Trap,Bullish,Building
XRPUSDT,24h,2026-04-22T12:00:00+00:00,0.006265945370337166,0.006265945370337166,-0.5799752533852505,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-22T16:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-22T16:00:00+00:00,0.001857840776164539,0.001857840776164539,-0.12045548633546051,Normal,False,False,False,unknown,unreliable,True,crowded_short,liquidation_noise,None,Trap,Bullish,Building
XRPUSDT,24h,2026-04-22T16:00:00+00:00,0.006265945370337166,0.006265945370337166,-0.5799752533852505,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-22T20:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
XRPUSDT,4h,2026-04-22T20:00:00+00:00,-0.010370879120879046,-0.010370879120879046,-0.5054359444134318,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Pre-Squeeze,Bullish,Building
XRPUSDT,24h,2026-04-22T20:00:00+00:00,0.006265945370337166,0.006265945370337166,-0.5799752533852505,Normal,False,False,False,unknown,unreliable,True,neutral,liquidation_noise,None,Trap,Bearish,Ready
XRPUSDT,1h,2026-04-23T00:00:00+00:00,0.0,0.0,,,False,False,False,,,False,,,None,Neutral,Neutral,WAIT
